Wall time,Step,Value
1680849538.510549,648,1.0000000116860974e-07
1680849786.1440835,649,1.0000000116860974e-07
1680850033.8522491,650,1.0000000116860974e-07
1680850282.3740623,651,1.0000000116860974e-07
1680850530.110537,652,1.0000000116860974e-07
1680850777.8383052,653,1.0000000116860974e-07
1680851768.5425951,657,1.0000000116860974e-07
1680852016.2148516,658,1.0000000116860974e-07
1680852511.486104,660,1.0000000116860974e-07
1680853006.719782,662,1.0000000116860974e-07
1680853254.5238006,663,1.0000000116860974e-07
1680853502.2822137,664,1.0000000116860974e-07
1680853750.035533,665,1.0000000116860974e-07
1680853997.7314842,666,1.0000000116860974e-07
1680854245.4625194,667,1.0000000116860974e-07
1680854493.286301,668,1.0000000116860974e-07
1680854741.0676875,669,1.0000000116860974e-07
1680854989.2141025,670,1.0000000116860974e-07
1680855484.6571155,672,1.0000000116860974e-07
1680855732.5926566,673,1.0000000116860974e-07
1680855980.3353145,674,1.0000000116860974e-07
1680856228.0445564,675,1.0000000116860974e-07
1680856475.7815752,676,1.0000000116860974e-07
1680856971.1697628,678,1.0000000116860974e-07
1680857218.996238,679,1.0000000116860974e-07
1680857466.6197047,680,1.0000000116860974e-07
1680857962.2112355,682,1.0000000116860974e-07
1680858209.9478593,683,1.0000000116860974e-07
1680858457.8420389,684,1.0000000116860974e-07
1680858705.6623173,685,1.0000000116860974e-07
1680858953.3803155,686,1.0000000116860974e-07
1680859201.211355,687,1.0000000116860974e-07
1680859448.8685765,688,1.0000000116860974e-07
1680859696.8070993,689,1.0000000116860974e-07
1680859944.5563295,690,1.0000000116860974e-07
1680860687.7519033,693,1.0000000116860974e-07
1680861187.3160856,695,1.0000000116860974e-07
1680861682.7855513,697,1.0000000116860974e-07
1680862426.1732275,700,1.0000000116860974e-07
1680862674.831009,701,1.0000000116860974e-07
1680862922.6655247,702,1.0000000116860974e-07
1680863170.5178707,703,1.0000000116860974e-07
1680863418.242164,704,1.0000000116860974e-07
1680863666.0256126,705,1.0000000116860974e-07
