Wall time,Step,Value
1680810406.951222,490,58.07705307006836
1680810902.0805016,492,57.63518142700195
1680811397.1772544,494,58.34165954589844
1680812139.8923423,497,57.393280029296875
1680812387.4950786,498,57.3774299621582
1680813873.862966,504,57.55973815917969
1680814616.4513779,507,56.9899787902832
1680814863.967838,508,57.950294494628906
1680815111.458575,509,57.238792419433594
1680815606.4245877,511,57.81165313720703
1680815853.9779243,512,57.19864273071289
1680816101.4374282,513,57.80420684814453
1680816596.6489394,515,57.750099182128906
1680816844.0899234,516,58.068023681640625
1680817091.6588845,517,57.00168991088867
1680817339.2089782,518,57.123939514160156
1680817834.4537954,520,57.41407012939453
1680818082.0958283,521,56.5430793762207
1680819072.3941965,525,56.89670181274414
1680819320.0638163,526,58.01870346069336
1680820805.769738,532,56.305137634277344
1680821300.676904,534,56.06446075439453
1680821548.3427691,535,56.55295944213867
1680821795.8218622,536,57.137786865234375
1680822043.348677,537,57.441837310791016
1680822290.8956056,538,57.40534591674805
1680822538.468545,539,56.113643646240234
1680822786.1871417,540,57.69754409790039
1680823033.801553,541,56.494667053222656
1680823281.5487628,542,56.923465728759766
1680823529.071088,543,56.61282730102539
1680823776.793193,544,56.50577926635742
1680824024.5616171,545,57.520450592041016
1680824519.6693046,547,57.16954803466797
1680824767.1909845,548,55.44437026977539
1680825014.802687,549,56.003028869628906
1680825262.6655226,550,56.56755828857422
1680825758.7279525,552,56.174400329589844
1680826006.3983562,553,56.67256546020508
1680826254.1403751,554,56.6828498840332
1680826749.3803737,556,57.49554443359375
1680827244.4157374,558,56.77359390258789
1680827739.6958327,560,56.400516510009766
1680827987.3515444,561,56.0473747253418
1680828731.6581824,564,56.35061264038086
1680828979.1727357,565,55.43551254272461
1680829226.8545785,566,55.78020477294922
1680829722.0156417,568,55.86962127685547
1680829969.699894,569,55.928043365478516
1680830217.292677,570,55.950077056884766
1680830712.5113597,572,54.96187973022461
1680831207.8894029,574,55.96994400024414
1680831455.6534958,575,55.8097038269043
1680831951.099844,577,55.642791748046875
1680832198.8709488,578,54.98215866088867
1680832446.6686883,579,55.62803649902344
1680832694.3794622,580,55.68519973754883
1680832941.96898,581,54.6463508605957
1680833189.597785,582,55.30012130737305
1680833437.270871,583,54.953277587890625
1680833685.0610206,584,55.413211822509766
1680833932.659277,585,55.153221130371094
1680834428.0061088,587,56.5948600769043
1680834675.6573796,588,55.2564582824707
1680834923.2904222,589,55.334075927734375
1680835666.146247,592,55.797786712646484
1680835913.877212,593,55.18082046508789
1680836161.4820557,594,55.83929443359375
1680836656.701352,596,54.97114181518555
1680836904.3725653,597,55.94268035888672
1680837151.9714837,598,56.22024917602539
1680837399.7113063,599,55.74143600463867
1680837895.9561238,601,54.90999984741211
1680838391.3001425,603,54.594886779785156
1680838638.9634,604,55.72016906738281
1680838886.5854454,605,54.114349365234375
1680839381.9393766,607,54.59769058227539
1680839877.3068705,609,55.50446319580078
1680840372.9978192,611,56.86313247680664
1680840620.652688,612,55.6968994140625
1680840868.1932523,613,54.65606689453125
1680841611.4918017,616,55.090576171875
1680842601.942808,620,54.106746673583984
1680842849.5102477,621,54.58061599731445
1680843345.145447,623,55.364498138427734
1680843592.722007,624,54.26661682128906
1680844087.9958978,626,54.44792556762695
1680845078.6313066,630,54.386802673339844
1680845326.4160109,631,54.33412551879883
1680845821.6721964,633,55.029258728027344
1680846316.880244,635,55.766109466552734
1680847307.3738987,639,55.02463150024414
1680848050.5662737,642,54.26652908325195
1680848298.2907417,643,53.984954833984375
1680848795.2103295,645,53.82595443725586
1680849043.0486398,646,54.39715576171875
1680849290.815405,647,54.349143981933594
1680849538.5101743,648,54.58533477783203
1680849786.1440046,649,54.15074157714844
1680850033.8521771,650,54.92044448852539
1680850282.3739362,651,54.280479431152344
1680850530.110409,652,54.50690841674805
1680850777.838224,653,54.51095962524414
1680851768.542514,657,54.50742721557617
1680852016.2146707,658,53.990638732910156
1680852511.4860332,660,54.677085876464844
1680853006.7197027,662,54.67042541503906
1680853254.523702,663,55.16131591796875
1680853502.2821324,664,54.501243591308594
1680853750.0353725,665,55.35185623168945
1680853997.7312975,666,54.208885192871094
1680854245.4622998,667,54.53475570678711
1680854493.2862208,668,55.101051330566406
1680854741.0676043,669,54.7733268737793
1680854989.2139795,670,54.74937438964844
1680855484.657035,672,54.12834167480469
1680855732.5925303,673,53.932579040527344
1680855980.3352392,674,54.571475982666016
1680856228.0444777,675,54.8345832824707
1680856475.7814963,676,54.09757614135742
1680856971.1696837,678,54.329532623291016
1680857218.9961653,679,54.0626335144043
1680857466.619534,680,54.58654022216797
1680857962.2110279,682,54.477577209472656
